Molecule ChEMBL ID,Molecule Name,Smiles
CHEMBL357629,,COc1ccc(-c2ccccc2)cc1NCc1cnc2nc(N)nc(N)c2c1C
CHEMBL277840,,COc1ccc2nc3cc(Cl)ccc3c(NCCNC(=O)NCc3ccccc3)c2c1
CHEMBL435479,,COc1cc(-n2cccc2)c(OC)cc1NCc1cnc2nc(N)nc(N)c2c1C
CHEMBL118210,,Cc1cc(C)c2[nH]c(O)c(/N=N/C(=N)S)c2c1
CHEMBL50597,,Nc1nc(N)c2nc(C(=O)c3ccccc3)c(-c3ccccc3)nc2n1
CHEMBL354011,,NC1=NC(c2cccc(OCc3ccccc3)c2)N(c2cccc(Cl)c2)C(N)=N1
CHEMBL222322,,C/C(=N\NS(=O)(=O)c1ccc(C)cc1)c1c(O)c2ccccc2oc1=O
CHEMBL106415,,C[N+](C)(CCCN1c2ccccc2Sc2ccc(Cl)cc21)Cc1ccc(Br)cc1
CHEMBL122998,,Cc1c(Sc2cccc3ccccc23)[nH]c2nc(N)nc(N)c12
CHEMBL275893,,Nc1nc(N)c2c(CSc3ccc4ccccc4c3)c[nH]c2n1
CHEMBL200533,,N#CCc1ccc(Oc2ccc(Cl)cc2O)c(Cl)c1
CHEMBL22139,,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1
CHEMBL274031,,Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1
CHEMBL187652,,O=C1c2cc(F)ccc2-n2c1nc1ncccc1c2=O
CHEMBL17383,,Nc1nc(N)c2c(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)coc2n1
CHEMBL1553837,,O=C1c2ccccc2C(=O)c2c1cccc2N(CCO)CCO
CHEMBL1503865,,CCN(CC)S(=O)(=O)c1ccc(N2CCCC2)c(NS(=O)(=O)c2ccc(F)cc2)c1
CHEMBL1436090,,CCCn1c(N)c(N(CCOC)C(=O)Cc2ccc(S(=O)(=O)N3CCOCC3)s2)c(=O)[nH]c1=O
CHEMBL1549136,,COc1ccc(NC(=O)Cc2ccccc2)cn1
CHEMBL266024,,Nc1nc(N)c2c(n1)CCC(Cc1cccc(OC(F)(F)F)c1)C2
CHEMBL4112765,,Cc1c(NS(=O)(=O)c2ccc(CCCC3CCN(C)CC3)cc2)c(CC(C)C)nn1C
